Date;Time:;Location:;AC        Type:;Operator:;Route:;cn / ln:;Flight #:;Is_military;Military country;Aboard_all;Aboard_passengers;Fatalities_all;Fatalities_passengers;Ground:;Registration:;Summary:
16.11.1994;02:40:00;Avenal, California;Beechcraft C99;Ameriflight;Burbank - Oakland;U-178;;No;;1;0;1;0;0;N63995;While en route, the cargo plane made an uncontrolled descent and crashed. Loss of aircraft control at night by the pilot for unknown reasons.
23.07.1982;02:30:00;Castaic, California;Bell UH-1B Huey Helicopter;Western Helicopter;Movie set;6414038;;No;;1;0;0;0;3;N87701;"During the filming of ""Twilight Zone, The Movie"", a helicopter crashed, killing actor Vic Morrow, 53, and two child actors. The helicopter was hovering low over a make believe Vietnamese village when an explosive charge from the special effects hit the tail rotor of the helicopter sending it crashing to the ground. One child, Rene Chen, 6, was crushed to death with the right skid. Vic Morrow and the other child, Myca Dinh Le, 7, were decapitated. Criminal charges against the production company were eventually dismissed in a much publicized trial. The civil trial ended in awards of 2 million dollars to the families of each of the children and $700,000  to the estate of Vic Morrow."
09.10.1936;;Selby, North Yorkshire, United Kingdom;Blackburn B-2;North Sea Aerial and General Transport;;4700-1;;No;;1;0;1;0;0;G-ABWI;The mail plane crashed under unknown circumstances.
27.05.1935;16:00:00;Glendo, Wyoming;Boeing 221;Wyoming Air Service;Billings - Sheridan - Casper - Cheyenne;1153;;No;;1;0;1;0;0;NC725W;While flying in poor weather conditions, the pilot decided to reduce his altitude to maintain a visual contact with the ground and crashed into a hill. The accidental collision with the ground while flying low due to severe local weather conditions.
26.11.1931;22:30:00;Pasco, Washington;Boeing 40;Varney Air Lines;Portland,  OR - Pasco, WA;1419;;No;;1;0;1;0;0;NC10338;Crashed in fog while attempting to land.
22.01.1931;;Bluff Mountain, Washington;Boeing 40;Varney Air Lines;Portland - Pasco;1422;;No;;1;0;1;0;0;NC741K;The mail plane flew into Bluff Mountain in dense fog.
14.12.1932;;Rocky Ridge, Colorado;Boeing 40;Boeing Air Transport;;892;;No;;1;0;1;0;0;NC281;Struck a mountain when the pilot reduced altitude to maintain contact with the ground.
23.11.1931;;Salt Lake City, Utah;Boeing 40;Boeing Air Transport;;897;;No;;1;0;1;0;0;NC7465;The mail plane crashed 8 miles west of Salt Lake airport. It is believed the plane overturned while attempting to land in the dark and in a snowstorm.
10.01.1930;;Brawnson, Nebraska;Boeing 95;Boeing Air Transport;;;;No;;1;0;1;0;0;NC184E;The airmail plane crash landed and burst into flames on a farm in fog and snow while attempting to make an emergency landing.
31.03.1932;;Bedford, Ohio;Boeing 95;National Air Transport;;1054;;No;;1;0;1;0;0;NC191E;Crashed in a storm.
24.05.1931;22:30:00;Bellefonte, Pennsylvania;Boeing 95;National Air Transport;;1057;;No;;1;0;1;0;0;NC397E;Crashed into a mountain and burned in poor visibility and icing conditions.
06.11.1924;;Cabrerolles, France;Breguet 14;Grands Express Aeriens;;;;No;;1;0;1;0;0;F-AFBD;While en route the pilot encountered thunderstorms, lost control and crashed.
20.03.1927;;Rabat, Morocco;Breguet 14;Grands Express Aeriens;Casablanca - Oran;;;No;;1;0;1;0;0;F-ALRA;Unknown.
22.01.1928;;L'Hospitalet, Ariège;Breguet 14;Aeropostale;Toulouse - Perpignan - Alicante - Casablanca - Dakar;;;No;;1;0;1;0;0;F-AHEQ;Crashed after experiencing mechanical difficulties.
03.12.1922;;Fez, Morocco;Breguet 14;Grands Express Aeriens;Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat;14;;No;;1;0;1;0;0;F-ALNA;While flying in foggy conditions the pilot reduced altitude and crashed into a hill.
27.01.1928;;Almeria, Spain;Breguet 14;Aeropostale;Casablanca - Alicante - Perpignan - Toulouse;162;;No;;1;0;1;0;0;F-AFHN;After experiencing turbulence the pilot's seat belt broke and ejecting the pilot.
14.11.1925;;Nouadhibou, Mauritania;Breguet 14;Lignes Aeriennes Latecoere;;168;;No;;1;0;1;0;0;F-AEGZ;The pilot suffered sunstroke lost control of the plane and crashed.
31.05.1926;;English Channel;Breguet 14;Air Union;Paris - Cryodon;1908;;No;;1;0;1;0;0;F-ADAI;The mail plane crashed into the English Channel and was never found.
20.07.1925;;Rosas, Spain;Breguet 14;Lignes Aeriennes Latecoere;Toulouse - Barcelona;209;;No;;1;0;1;0;0;F-AFBI;Crashed in unknown circumstance.
28.12.1927;;Almeria, Spain;Breguet 14;Aeropostale;Dakar - Casablanca - Alicante - Perpignan - Toulouse;227;;No;;1;0;1;0;0;F-AFGS;A fire erupted aboard the mail plane while en route and crashed.
24.12.1920;;Barcelona, Spain;Breguet 14;Aeropostale;;57;;No;;1;0;1;0;0;F-ALBO;The aircraft stalled and crashed when an engine failed.
17.01.1923;;Barcelona, Spain;Breguet 14;Grands Express Aeriens;;6083-130;;No;;1;0;1;0;0;F-ALJU;Crashed into a mountain during a snowstorm.
09.06.1999;;Coron, Philippines;Britten-Norman BN-2A-21 Islander;Pacific Airways;;473;;No;;1;0;1;0;0;RP-C471;
07.06.2009;08:30:00;Near Port Hope Simpson, Newfoundland, Canada;Britten-Norman BN-2A-27 Islander;Strait Air;Lourdes de Blanc Sablon - Port Hope Simpson;424;;No;;1;0;1;0;0;C-FJJR;The air ambulance crashed into hills while attempting to land in heavy fog about 4 miles from the airport.
03.05.2000;;Kurupung, Guyana;Britten-Norman BN-2A-9 Islander;Trans Guyana Airways;;694;;No;;1;0;1;0;0;8R-GAC;The cargo plane crashed into a cloud covered mountain.
21.11.1998;17:43:00;Edgewater, Maryland;Burgess RV-6 experimental;Private;Brunswick, GA - Annapolis, MD;21119;;No;;1;0;1;0;0;N956DB;The homebuilt plane was attempting to land at Lee Airport in Maryland when it crashed into Beard's Creek.  coming to rest  inverted in 18 feet of water. Actor, William Gardner Knight, 56, who was piloting the aircraft was killed. The pilot's failure to maintain adequate altitude/clearance from the trees. Contributing to the accident was the pilot's unfamiliarity with the geographic location and dark night conditions.
27.02.1990;19:47:00;Denver, Colorado;Cessna 208A Caravan I Cargomaster;Federal Express;Aspen - Denver;208-00043;;No;;1;0;1;0;0;N820FE;While on an ILS approach, the cargo plane encountered icing conditions. Subsequently it entered a steep descent and crashed short of the runway. The accumulation of structural ice and subsequent stalling of the aircraft. The icing condition was a related factor.
17.01.1990;07:19:00;Near Leadville, Colorado;Cessna 208A Caravan I Cargomaster;Federal Express;Denver - Montrose;208-00091;824;No;;1;0;1;0;0;N835FE;The cargo plane crashed into a 14,200 ft. Mount Massive 50 feet below the summit  while en route. Diversion of the pilot's attention, resulting in an in flight collision with terrain during normal cruise flight.
29.10.2003;08:51:00;Cody, Wyoming;Cessna 208B Caravan I Super Cargomaster;FedEx;Casper - Cody;208-0289;8773;No;;1;0;1;0;0;N791FE;While on approach after an 18 minute holding pattern the cargo plane crashed in a snowstorm on a highway  before coming to rest in Alkali Lake located short of runway. The pilot's failure to maintain aircraft control. Contributing factors include the pilot's failure to divert to an alternate airport, an inadvertent stall, and the snow and icing conditions.
17.12.2002;22:51:00;Rockford, Illinois;Cessna 208B Caravan I Super Cargomaster;Planemasters;Decatur - Rockford;208B-0143;1627;No;;1;0;1;0;0;N277PM;While attempting to land, the cargo plane struck trees and crashed into a field. The pilot's failure to maintain control of the airplane during the ILS approach. Factors associated with the accident were the low ceilings, high winds, crosswind, and wind shear conditions that existed.
29.01.1990;20:33:00;Plattsburgh, New York;Cessna 208B Caravan I Super Cargomaster;Wiggins Airways;Plattsburgh - Syracuse;208B-0172;;No;;1;0;1;0;0;N854FE;The cargo plane took off at night in snow was unable to gain altitude, make a steep descent and crashed into trees. Loss of control in-flight after the airplane stalled during climbout. The stall resulted from a loss of lift due to a contaminated wing surface. Contributing to the accident was the failure of the pilot to de-ice the aircraft prior to departure.
17.08.1966;;Near Da Nang, South Vietnam;Chance Vought F-8E;Military - U.S. Marine Corps;;;;Yes; U.S. Marine Corps;1;0;0;0;33;150321;Following engine failure, the jet fighter crashed into a village.
26.01.1935;;Pittsburgh, Pennsylvania;Consolidated Fleetster;Trans Continental and Western Air;Newark, NJ - Columbus, OH;;;No;;1;0;1;0;0;NC13212;The mail plane crashed and burned soon after taking off in a blinding snowstorm.
12.02.1926;;Montpelier, Ohio;Curtiss Carrier Pigeon;US Aerial Mail Service;;;;No;;1;0;1;0;0;602;While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area.
14.10.1919;;Cantonsville, Maryland;Curtiss R-4LM;US Aerial Mail Service;;;;No;;1;0;1;0;0;32;The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.
06.08.1913;;Victoria, British Columbia, Canada;Curtiss seaplane;Private;;;;No;;1;0;1;0;0;;The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.
08.05.1939;12:00:00;Guayaquil, Ecuador;Curtiss-Wright C-14 Osprey;Military - Ecuadorian Air Force;;;;Yes; Ecuadorian Air Force;1;0;1;0;22;;While performing aerobatics, the aircraft lost control and crashed into numerous building near a college.
06.09.1952;15:40:00;Near Farnsborough, England;de Havilland 110;Private - de Havilland Aircraft;;;;No;;1;0;1;0;29;WG235;One of two engines of the aircraft fell into a crowd at a performance at the Farnborough air show. The aircraft crashed to the ground 1.5 miles from the grandstands killing the Chief test pilot of de Havilland Aircraft Corporation, John Derry and an observer, Tony Richards. In addition, fifty two people on the ground were killed and over 60 injured. The cause was a structural design fault in the D shaped leading edge section of the wing. When Derry pulled a high G turn, the wing buckled.
18.06.2008;10:03:00;Hyannis, Massachusetts;de Havilland Canada DHC-6 Twin Otter 100;Wiggins Airways;Hyannis - Nantucket;47;;No;;1;0;1;0;0;N656WA;The cargo plane took off, reached about 200 feet, rolled over to the right and impacted the ground, nose first. The pilot's failure to remove the flight control lock prior to takeoff. Contributing to the accident was the FAA's failure to issue an airworthiness directive making the manufacturer's previously issued flight control lock service bulletins mandatory.
11.10.1985;21:40:00;Homer City, Pennsylvania;de Havilland Canada DHC-6 Twin Otter 200;Mountain Air Cargo;State College - Pittsburgh;192;;No;;1;0;1;0;0;N3257;The cargo plane struck high ground while en route. Pilot error. Altitude not maintained. Improper clearance.
30.10.1919;;Long Valley, New Jersey;De Havilland DH.4;US Aerial Mail Service;;77;;No;;1;0;1;0;0;77;While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.
01.08.1924;;United States;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;297;The pliot made a low pass in honor of another pilot who had died, stalled and cashed.
01.10.1925;;Mt. Nittany, Ohio;De Havilland DH-4;US Aerial Mail Service;New York - San Francisco;;;No;;1;0;1;0;0;385;Crashed into a wooded area on Mt. Nittany in fog and low visibility.
02.10.1919;;Newcastle, England;De Havilland DH-4;Aircraft Transport and Travel;;;;No;;1;0;1;0;0;;
03.02.1921;;Mendotta, Minnisota;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;130;Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.
06.06.1920;;Cleveland, Ohio;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;204;The aircraft suffered engine failure and crashed shortly after taking off.
06.12.1923;;Castalia, Ohio;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;318;Crashed under unknown circumstances.
07.03.1924;;Grampian, Pennsylvania;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;327;Crashed during a snowstorm.
07.09.1922;;Indianapolis, Indiana;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;227;The plane stalled shortly after takeoff and crashed.
07.09.1923;;Colton, Ohio;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;283;Crashed during an emergency landing attempt.
10.03.1920;;New Paris, Indiana;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;65;While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.
15.10.1920;;Batavia, Illinois;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;76;While attempting to land in fog the aircraft hit an obstruction and crashed.
16.08.1920;;College Park, Maryland;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;317;While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.
16.12.1918;;Elizabeth, New Jersey;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;97;Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.
18.01.1923;;Cheyenne, Wyoming;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;223;Crashed during a mail flight.
19.07.1919;;Dix Run, Pennsylvania;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;82;The mail plane crashed under unknown circumstances.
21.04.1921;;Mitchel Field, NY;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;160;After taking off the aircraft stalled and crashed.
21.12.1924;;Goshen, Indiana;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;311;Lost in a snowstorm, the pilot decided to bail out of the plane but was killed.
22.02.1921;;Elko, Nevada;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;67;Shortly after taking off, the aircraft stalled and crashed .
24.12.1923;;Egbert, WY;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;315;Crashed into a montain in poor weather conditions.
25.05.1919;;Cleveland, Ohio;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;61;Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
26.02.1923;;Meadville, Pennsylvania;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;291;The pilot lost control of the aircraft  while on approach in poor weather conditions.
27.09.1920;;Hillersburg, Pennsylvania;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;316;The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.
29.04.1921;;Cleveland, Ohio;De Havilland DH-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;196;The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.
30.03.1920;;Newark, New Jersey;De Havilland DH-4;US Aerial Mail Service;Washington - Newark;;;No;;1;0;1;0;0;72;George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.
07.11.1920;;Tie Siding, Wyoming;De Havilland DH-4;US Aerial Mail Service;;178;;No;;1;0;1;0;0;;The aircraft crashed into a mountain in poor weather condtions.
17.05.1921;;Rock Springs, Wyoming;"De Havilland DH-4
De Havilland DH-4";US Aerial Mail Service;;;;No;;1;0;1;0;0;176;Crashed while attempting to land.
08.03.1938;;Somerton, Australia;De Havilland DH-60;Australian National Airways;Training;;;No;;1;0;1;0;0;VH-UNU;The pilot made a sharp turn, lost control of the aircraft and chrashed.
26.12.1932;;Wau, Australia;De Havilland DH-60;Guinea Airways;;1372;;No;;1;0;1;0;0;VH-UMJ;The pilot lost control and crashed after attempting an aerobatic maneuver.
25.08.1969;;Sucre, Ecuador;Douglas C-47B;TAO;;15777/27222;;No;;1;0;1;0;0;HC-ALK;The cargo plane crashed under unknown circumstances.
19.02.1942;;Zhengzhou-Xinzheng, China;Douglas DC-2;China National Aviation Corporation;;;;No;;1;0;1;0;;45;Crashed under unknown circumstances.
02.12.1929;;Chagrin Falls, Ohio;Douglas M-3;National Air Transport;;622;;No;;1;0;1;0;0;NC789;The mail plane crashed en route during a storm.
22.04.1927;;Goshen, Indiana;Douglas M-4;US Aerial Mail Service;;;;No;;1;0;1;0;0;626;Crashed into a field during a snow storm.
22.06.1928;;Lebo, Kansas;Douglas M-4;National Air Transport;Chicago - Dallas;628;;No;;1;0;1;0;0;NC1059;The mail plane flew into tornado like winds and crashed in a field.
25.11.1928;;Bristolville, Ohio;Douglas M-4;National Air Transport;;650;;No;;1;0;1;0;0;NC792;The mail plane crashed in a snow storm.
20.12.1928;;Huron, Ohio;Douglas M-4;National Air Transport;Cleveland - Chicago;653;;No;;1;0;1;0;0;NC790;The mail plane crashed into an apple tree during a snow storm after the pilot experienced spatial disorientation.
18.10.1928;;Polk, Pennsylvania;Douglas M-4;National Air Transport;;658;;No;;1;0;1;0;0;NC1064;The mail plane crashed into a hill and burned during the night during poor weather conditons.
29.11.1927;;Corunna, Indiana;Douglas M-4;National Air Transport;;PO641;;No;;1;0;1;0;0;"NC62  	
NC1062";The postal plane crashed at night in poor weather.
04.08.2006;09:30:00;Near Pownal, Vermont;Embraer 110 Bandeirante;AirNow;Binghamton, NY - Benningham, VT;110-396;59;No;;1;0;1;0;0;N59BA;The cargo plane was flying to Benningham for weekly maintenance but was diverted to Albany because of poor visibility. After an aborted first try the plane circled for another attempt but struck a mountainside. The pilot's misinterpretation of the airplane's position relative to the final approach fix, which resulted in the displacement of the descent profile by 6 nautical miles and the subsequent controlled flight into rising terrain. Contributing to the accident were the low clouds.
13.01.2005;22:18:00;Keene, New Hampshire;Embraer EMB-110 Bandeirante;AirNow;Bangor, ME - Concord, NH;110301;;No;;1;0;1;0;0;N49BA;The cargo plane diverted to Keene due to poor weather. During the final approach at night, the plane hit the ground short of Runway 02 and was destroyed.
24.09.1972;;Sacramento, California;F-86 Sabrejet;Private;;;;No;;1;0;0;0;22;N275X;A World War II vintage Sabrejet fighter leaving an air show at Executive Airport was unable to get airborn and crashed into a Farrell's Ice Cream Parlor on Freeport Blvd. Twenty-two people on the ground, including 12 children were killed. The pilot, was pulled from the wreckage by a bystander and survived. The pilot tried to lift off too quickly, pointing the nose of the jet three times higher than the normal angle. Instead of becoming airborne sooner, the plane had trouble getting off the ground.
13.01.1954;;Signal Hill, California;F-88 Sabre Jet;Military - U.S. Air Force;Williams AFB  - Long Beach;;;Yes; U.S. Air Force;1;0;1;0;6;;The jet fighter crashed into homes killing 6 people and destroying 3 homes while attempting to land at Long Beach Airport..
27.05.1938;;Alberno Canal, BC, Canada;Fairchild 51;Ginger Coote Airways;Vancouver - Zeballos;;;No;;1;0;1;0;0;CF-AUX;Crashed into a wooded area after hitting trees
05.01.1929;;Stafford Springs, Connecticut;Fairchild FC-2;Colonial Air Transport;;111;;No;;1;0;1;0;0;NC5650;Struck a mountain slope  in poor weather.
07.10.1946;11:20:00;Apeldoorn, The Netherlands;Fairey Firefly MK1;Military - Royal Netherlands Naval Air Service;;;;Yes; Royal Netherlands Naval Air Service;1;0;1;0;22;PP526;The pilot of the single engine fighter made an unauthorized flight to Apeldoorn and began flying low to attract attention. The aircraft lost altitude during a maneuver and crashed into a high school killing 22 on the ground.
08.11.1927;;Strasburg, France;Farman F-121 Jabiru;CIDNA;Strasbourg - Paris;1;;No;;1;0;1;0;0;F-AIBR;The mail plane crashed shortly after taking off.
03.09.1927;;Willington, Connecticut;Fokker Universal;Colonial Air Transport;;405;;No;;1;0;1;0;0;"NC52  	
NC52";The postal plane crashed for unknown reasons.
08.03.1926;;Staaken, Germany;Junkers F-13;Deutche Lufthansa;;665;;No;;1;0;1;0;0;"D-290
D-290";While in a training filight the aircraft stalled and crashed while attempting to land.
22.05.1931;;Wampit, Australia;Junkers W-34;Guiena Airways;Lae - Bulolo;2611;;No;;1;0;1;0;0;VH-UNR;Hit trees in fog and cashed into the jungle.
24.08.1929;;Sochi, Russia;Kalinin K-4;Ukvozduchput;;108;;No;;1;0;1;0;0;CCCP-217;Crashed under unknown circumstances.
12.10.1932;;Port Etienne, Mauritania;Latecoere 28;Aeropostale;Dakar - Port Etienne - Algiers - Paris;905;;No;;1;0;1;0;0;F-AJIP;Crashed shortly afer taking off.
03.08.1936;;Ciudad Serdan,Mexico;Lockheed 9 Orion;Mexicana;;169;;No;;1;0;1;0;0;XA-BAY;Crashed while delivering mail.
23.06.1934;06:00:00;Burbank, California;Lockheed Orion;Aerevias Centrales Air Service;Mexico - Burbank;;;No;;1;0;1;0;0;XA-BEJ;Crashed while en route to pick up passengers. The plane crashed near a fire station in heavy fog and burst into flames killing the pilot.
06.10.1936;;Francisco Rueda,  Tabasco, Mexico;Lockheed Orion;Mexicana;;174;;No;;1;0;1;0;0;XA-BDH;The mail plane crashed for reasons unknown.
22.12.1934;02:52:00;Sunbright, Tennessee;Lockheed Orion 9D;American Airlines;Louisville, KY - Nashville, TN;198;;No;;1;0;1;0;0;NC12286;Crashed into Big Pilot mountain, 50 feet from the top of the summit, four miles from Sunbright, in poor visibility. The battery-generator system failed, thus causing an error in the ship's compass and probably affecting other essential navigation instruments.
14.09.1931;20:00:00;Chicago, Illinois;Lockheed Vega;Chicago-Detroit Airways;;056;;No;;1;0;1;0;0;NC606;Crashed in a severe rainstorm while attempting to land.
09.11.1935;04:40:00;Near Fort Worth, Texas;Lockheed Vega;Braniff Airlines;Dallas - Waco;191;;No;;1;0;1;0;0;NC980Y;Plunged to the ground thirty minutes after leaving Fort Worth. Tried to return to Dallas airport due to inclement weather.
01.05.1935;10:45:00;Near Walsenberg, Colorado;Lockheed Vega;Varney Air Lines;Pueblo - El Paso;73;;No;;1;0;1;0;0;NC891E;Crashed at Rattlesnake Butte after the plane lost engine power. James Montijo, 40, the man who taught Amelia Earhart to fly, killed. The accidental collision with the ground while doing low flying in violation of the Air Commerce Regulations.
08.12.1934;05:30:00;Columbia, Missouri;Lockheed Vega 5C;Braniff Airlines;Kansas City, MO - Chicago, IL;123;;No;;1;0;1;0;0;NC106W;The mail plane crashed to the ground from a low altitude. Icing.
01.03.1990;;Near Meerut, India;MiG-23;Military - Indian Air Force;;;;Yes; Indian Air Force;1;0;0;0;50;;After the pilot ejected safely, the aircraft crashed into two trucks killing 50 people on the ground.
30.06.1959;10:35:00;Ishikawa City, Ryukyu Island, Okinawa;North American F-100D-25NA;Military - U.S. Air Force;;;;Yes; U.S. Air Force;1;0;0;0;17;55-3633A;The pilot ejected and parachuted safely from the aircraft after the engine caught fire and the aircraft became uncontrollable. The plane crashed into the Miyamori Primary School compound and the surrounding neighborhood killing 17, of which 11 were students, and injuring another 181.  Because of the subsequent fire in the aftermath of the crash another 158 persons (28 families) were made homeless.
16.09.2011;16:25:00;Reno, Nevada;North American P-51D-15-NA Mustang;Private - Aero Trans Corp;Air race;109-35934;;No;;1;0;1;0;10;N79111;The pilot of the aircraft participating in an air race lost control and dove into the spectator box seating area disintegrating upon impact. A section of the left elevator trim tab separated in flight. Investigation determined that the looseness of the elevator trim tab attachment screws and a fatigue crack in one of the screws caused a decrease in the structural stiffness of the elevator trim system.
21.03.1932;;Steubenville, Ohio;Northrop Alpha 3;Trans Continental and Western Air;Columbus - McKeesport;9;;No;;1;0;1;0;0;NC966Y;The mail plane pilot drowned when his parachute tangled in the fuselage and he was dragged into the Ohio River after his plane crashed.
10.11.1933;;Moriarty, New Mexico;Northrop Delta;Trans Continental and Western Air;;03;;No;;1;0;0;0;0;NC12292;The pilot bailed out after the engine caught fire. He was not injured.
29.09.2004;18:59:00;Tortuguero lagoon, Puerto Rico;Pilatus-Britten Norman BN-2A-27 Islander;Air Flamence;Mayaguez - San Juan;905;;No;;1;0;1;0;0;N902GD;The cargo plane hit a heavy rain shower before losing control and crashing into Toruuguero lagoon. The pilot's improper inflight planning which resulted in an inflight encounter with weather (low ceilings and thunderstorms), his loss of aircraft control, and an inflight collision with the ocean during uncontrolled descent.
17.09.1929;;Mt Lamentation, Connecticut;Pitcairn PA-6 Mailwing;Colonial Air Transport;;;;No;;1;0;1;0;0;;The mail plane crashed into Mt. Lamentation in fog and burst into flames.
